GISFIPSCode,AVG_AGE,Current_Smoker_Count,Former_Smoker_count,Smoke_at_all_count,PatientCount,ends_atall,ends_use_100k,Current_Smoker_100k,Former_Smoker_100k,Smoke_at_all_100k
53001,74,63,107,170,452,15,3320,13940,23680,37610
6007,69,1715,2564,4279,9497,273,2880,18060,27000,45060
55077,72,259,385,644,1028,63,6130,25200,37460,62650
30061,70,80,113,193,430,23,5350,18610,26280,44890
29007,77,331,440,771,1938,64,3310,17080,22710,39790
31009,75,11,11,11,27,11,0,22230,18520,40740
34013,65,1984,3211,5195,14467,282,1950,13720,22200,35910
48181,70,1627,2939,4566,8267,349,4230,19680,35550,55240
30041,68,144,190,334,726,15,2070,19840,26170,46010
38091,70,19,37,56,113,11,2660,16820,32750,49560
41055,72,35,39,74,165,11,3030,21220,23640,44850
42133,68,2574,6433,9007,15801,583,3690,16290,40720,57010
72145,67,130,273,403,1438,22,1530,9040,18990,28030
12017,72,3389,5694,9083,16860,986,5850,20100,33780,53880
1097,66,3797,5414,9211,18536,665,3590,20490,29210,49700
19149,75,176,329,505,1245,40,3220,14140,26430,40570
48287,69,126,249,375,646,38,5890,19510,38550,58050
30011,69,11,24,30,70,11,0,8580,34290,42860
26049,66,2446,3459,5905,12016,546,4550,20360,28790,49150
6093,73,520,947,1467,2995,56,1870,17370,31620,48990
55117,70,578,1411,1989,3702,163,4410,15620,38120,53730
37143,66,132,209,341,757,32,4230,17440,27610,45050
72011,69,29,68,97,650,11,310,4470,10470,14930
21171,68,76,82,158,295,11,2040,25770,27800,53560
26021,72,960,1742,2702,5937,239,4030,16170,29350,45520
40019,73,700,794,1494,2783,236,8480,25160,28530,53690
37193,71,533,891,1424,2794,77,2760,19080,31890,50970
49049,63,737,2154,2891,9451,337,3570,7800,22800,30590
55041,73,176,311,487,794,20,2520,22170,39170,61340
13271,68,126,115,241,545,20,3670,23120,21100,44220
34027,72,654,2343,2997,7875,158,2010,8310,29760,38060
47181,69,176,175,351,663,55,8300,26550,26400,52950
48329,66,799,1420,2219,4305,173,4020,18560,32990,51550
54051,75,365,618,983,1794,45,2510,20350,34450,54800
29133,72,157,189,346,590,27,4580,26610,32040,58650
47145,68,686,1005,1691,3070,121,3950,22350,32740,55090
37041,68,111,180,291,578,18,3120,19210,31150,50350
17181,73,269,431,700,1290,52,4040,20860,33410,54270
47041,68,207,273,480,758,54,7130,27310,36020,63330
40029,69,74,90,164,271,18,6650,27310,33210,60520
48117,72,111,77,188,470,42,8940,23620,16390,40000
72133,65,44,82,126,761,11,400,5790,10780,16560
54085,70,193,237,430,688,29,4220,28060,34450,62500
54069,77,411,885,1296,2495,48,1930,16480,35470,51950
30027,74,158,235,393,863,13,1510,18310,27230,45540
54101,72,165,181,346,528,15,2840,31250,34280,65530
13117,65,431,904,1335,3780,148,3920,11410,23920,35320
51153,54,1530,2197,3727,16375,393,2400,9350,13420,22760
29125,68,123,128,251,544,14,2580,22610,23530,46140
20139,68,197,257,454,1098,75,6830,17950,23410,41350
72067,74,19,84,103,591,11,340,3220,14220,17430
72129,66,68,138,206,857,11,820,7940,16110,24040
30055,67,48,64,112,225,11,2230,21340,28450,49780
36089,67,803,1611,2414,4297,199,4640,18690,37500,56180
28117,70,216,172,388,796,187,23500,27140,21610,48750
4001,66,459,756,1215,2638,106,4020,17400,28660,46060
51145,65,168,346,514,1090,44,4040,15420,31750,47160
13015,64,697,713,1410,3262,133,4080,21370,21860,43230
54053,70,273,254,527,1305,65,4980,20920,19470,40390
31155,69,195,296,491,1219,65,5340,16000,24290,40280
1085,62,99,84,183,507,30,5920,19530,16570,36100
38103,75,29,57,86,208,11,1930,13950,27410,41350
48365,70,280,292,572,1076,26,2420,26030,27140,53160
48393,72,11,11,14,32,11,0,18750,25000,43750
51620,64,77,115,192,369,16,4340,20870,31170,52040
19041,76,130,274,404,993,37,3730,13100,27600,40690
45001,70,215,313,528,1271,34,2680,16920,24630,41550
41057,71,302,546,848,1709,86,5040,17680,31950,49620
18113,71,363,671,1034,1676,104,6210,21660,40040,61700
26125,69,3688,8448,12136,25129,703,2800,14680,33620,48300
72029,64,77,171,248,1167,11,690,6600,14660,21260
48069,76,38,40,78,172,11,5820,22100,23260,45350
13155,68,104,80,184,391,15,3840,26600,20460,47060
51121,66,444,699,1143,2353,89,3790,18870,29710,48580
22063,63,924,932,1856,4388,179,4080,21060,21240,42300
48185,67,245,398,643,1152,56,4870,21270,34550,55820
48219,68,189,135,324,696,27,3880,27160,19400,46560
19183,70,189,286,475,1026,37,3610,18430,27880,46300
29510,60,3150,2940,6090,17002,526,3100,18530,17300,35820
17043,69,1796,5337,7133,17625,642,3650,10190,30280,40470
26159,70,511,788,1299,2797,80,2860,18270,28180,46450
28059,64,1742,2050,3792,8425,404,4800,20680,24340,45010
47173,68,222,302,524,808,43,5330,27480,37380,64860
51185,71,513,677,1190,2116,94,4450,24250,32000,56240
39023,69,1169,1359,2528,6983,386,5530,16740,19470,36210
56005,64,515,630,1145,2012,92,4580,25600,31320,56910
29083,70,329,483,812,1547,105,6790,21270,31230,52490
13139,68,773,1356,2129,5228,241,4610,14790,25940,40730
18175,68,331,482,813,1329,72,5420,24910,36270,61180
46123,77,95,84,179,414,11,1450,22950,20290,43240
20041,63,248,373,621,1458,89,6110,17010,25590,42600
27007,71,429,770,1199,2365,77,3260,18140,32560,50700
55101,68,1333,2692,4025,7582,377,4980,17590,35510,53090
17123,69,94,158,252,472,21,4450,19920,33480,53390
47187,64,452,1007,1459,4379,130,2970,10330,23000,33320
19011,71,220,320,540,1202,39,3250,18310,26630,44930
17193,74,176,373,549,858,49,5710,20520,43480,63990
19099,69,331,399,730,1579,65,4120,20970,25270,46240
19053,72,81,97,178,368,11,2450,22010,26360,48370
40131,72,1210,1770,2980,6148,310,5050,19690,28790,48480
45091,65,1786,2780,4566,10740,517,4820,16630,25890,42520
56031,70,150,254,404,732,29,3970,20500,34700,55200
46105,74,43,47,90,218,11,1840,19730,21560,41290
54043,69,292,292,584,1013,46,4540,28830,28830,57650
4027,65,1699,2812,4511,10440,510,4890,16280,26940,43210
5093,69,412,307,719,1580,345,21840,26080,19430,45510
6103,70,741,1029,1770,3452,102,2960,21470,29810,51280
40023,75,200,288,488,846,39,4610,23640,34050,57690
28093,69,300,250,550,1262,232,18390,23780,19810,43590
31163,74,43,55,98,209,11,3830,20580,26320,46890
55109,65,512,1048,1560,3361,93,2770,15240,31190,46420
72043,67,68,163,231,1390,14,1010,4900,11730,16620
48197,69,50,29,79,155,11,5810,32260,18710,50970
54001,69,261,310,571,951,36,3790,27450,32600,60050
42073,74,949,2138,3087,5008,136,2720,18950,42700,61650
38059,69,278,537,815,1590,39,2460,17490,33780,51260
29109,75,581,1060,1641,2687,134,4990,21630,39450,61080
13099,66,113,90,203,441,13,2950,25630,20410,46040
27061,73,630,1045,1675,3268,87,2670,19280,31980,51260
47027,69,109,143,252,384,14,3650,28390,37240,65630
42099,67,390,702,1092,1761,73,4150,22150,39870,62010
42101,68,7575,7763,15338,39535,1023,2590,19160,19640,38800
20207,76,33,37,70,182,11,4950,18140,20330,38470
54039,70,2311,2440,4751,9419,348,3700,24540,25910,50440
21161,71,178,244,422,764,35,4590,23300,31940,55240
41031,69,281,445,726,1448,76,5250,19410,30740,50140
13115,68,621,628,1249,3026,100,3310,20530,20760,41280
47141,68,780,1382,2162,3556,169,4760,21940,38870,60800
48423,68,1689,3103,4792,8878,312,3520,19030,34960,53980
34023,70,1320,3637,4957,12839,238,1860,10290,28330,38610
51790,70,226,312,538,1125,50,4450,20090,27740,47830
31075,68,11,11,14,30,11,0,26670,20000,46670
42027,70,753,1513,2266,5498,626,11390,13700,27520,41220
5039,71,101,103,204,364,20,5500,27750,28300,56050
19073,72,86,123,209,444,12,2710,19370,27710,47080
29207,71,488,600,1088,1914,70,3660,25500,31350,56850
28075,70,785,842,1627,4186,224,5360,18760,20120,38870
37069,63,531,865,1396,2754,149,5410,19290,31410,50690
1099,68,188,269,457,879,25,2850,21390,30610,51990
30025,73,21,25,46,105,11,0,20000,23810,43810
48011,69,33,34,67,155,14,9040,21290,21940,43230
27165,75,94,198,292,589,14,2380,15960,33620,49580
40075,70,112,142,254,430,38,8840,26050,33030,59070
35061,66,835,1402,2237,5061,276,5460,16500,27710,44200
21099,66,186,250,436,695,33,4750,26770,35980,62740
39075,73,233,334,567,879,45,5120,26510,38000,64510
47039,70,160,164,324,606,124,20470,26410,27070,53470
39043,75,887,2107,2994,4973,159,3200,17840,42370,60210
18005,68,521,799,1320,2806,135,4820,18570,28480,47050
8037,65,65,186,251,562,18,3210,11570,33100,44670
72091,68,79,179,258,869,12,1380,9090,20600,29690
21073,67,487,725,1212,2273,157,6910,21430,31900,53330
29145,69,749,1050,1799,3192,210,6580,23470,32900,56360
19107,75,129,144,273,576,24,4170,22400,25000,47400
28067,72,611,711,1322,2677,76,2840,22830,26560,49390
27159,73,208,343,551,1078,45,4180,19300,31820,51120
33019,69,436,1031,1467,2829,135,4780,15420,36450,51860
36117,70,659,1594,2253,3988,156,3920,16530,39970,56500
48001,69,644,905,1549,2627,152,5790,24520,34450,58970
29013,72,189,199,388,731,47,6430,25860,27230,53080
20101,78,16,21,37,84,11,7150,19050,25000,44050
17201,72,1923,4083,6006,10332,476,4610,18620,39520,58130
29099,65,1780,2966,4746,8842,457,5170,20140,33550,53680
31029,76,38,37,75,181,11,1110,21000,20450,41440
8053,68,11,11,15,31,11,3230,16130,32260,48390
53043,70,108,235,343,776,27,3480,13920,30290,44210
20019,72,37,34,71,192,14,7300,19270,17710,36980
